date,manufacturer,carrier,fatalities,location
3/27/1977,Boeing,Pan Am Flight 1736 andKLM Flight,583,"Tenerife, Spain"
8/12/1985,Boeing,Japan Airlines Flight,520,"Ueno, Japan"
11/12/1996,Boeing,,349,"Charkhi Dadri, India"
3/3/1974,McDonnell,,346,"Fontaine-Chaalis, France"
8/19/1980,Lockheed,,301,"Riyadh, Saudi Arabia"
5/25/1979,McDonnell,,273,"Des Plaines, Illinois, U.S."
11/12/2001,Airbus,,265,"Belle Harbor, New York City, New York, U.S."
4/26/1994,Airbus,,264,"Komaki, Japan"
7/11/1991,McDonnell,,261,"Jeddah, Saudi Arabia"
11/28/1979,McDonnell,,257,"Mount Erebus, Antarctica"
12/12/1985,McDonnell,,256,"Gander, Newfoundland, Canada"
1/8/1996,Antonov,,251,"Kinshasa, DR Congo (then Zaire)"
3/8/2014,Boeing,,239,
9/26/1997,Airbus,,234,"Medan, Indonesia"
7/17/1996,Boeing,,230,"East Moriches, New York, U.S."
9/2/1998,McDonnell,,229,"Peggys Cove, N.S., Canada"
6/1/2009,Airbus,,228,Saint Peter and Saint Paul Archipelago
8/6/1997,Boeing,,228,"Asan, Guam, U.S."
5/25/2002,Boeing,,225,"Taiwan Strait, near Penghu Islands, Taiwan"
5/26/1991,Boeing,,223,"Phu Toei National Park, Thailand"
10/31/1999,Boeing,,217,"Nantucket, Massachusetts, U.S."
1/1/1978,Boeing,,213,"Arabian Sea, off Mumbai, India"
2/16/1998,Airbus,,203,"Dayuan District, Taiwan"
7/10/1985,Tupolev,,200,"Uchkuduk, Uzbek SSR, USSR"
7/17/2007,Airbus,,199,"São Paulo, Brazil"
12/4/1974,Douglas,,191,"Maskeliya, Sri Lanka"
10/29/2018,Boeing,,189,"Java Sea, off Tanjungbungin, Karawang Regency, Indonesia"
2/6/1996,Boeing,,189,"Puerto Plata, Dominican Republic"
8/3/1975,Boeing,,188,"Tamri, Morocco"
5/9/1987,Ilyushin,,183,"Warsaw, Poland"
11/15/1978,Douglas,,183,"Katunayake, Sri Lanka"
11/27/1983,Boeing,,181,"Madrid, Spain"
12/1/1981,McDonnell,,180,"Petreto-Bicchisano, Corsica, France"
10/11/1984,Tupolev,,178,"Omsk, Russian SFSR, USSR"
8/11/1979,Tupolev,,178,"Dniprodzerzhynsk, Ukrainian SSR, USSR"
6/7/1989,Douglas,,176,"Paramaribo, Surinam"
9/10/1976,Hawker,,176,"Vrbovec, SR Croatia, Yugoslavia"
1/22/1973,Boeing,,176,"Kano, Nigeria"
10/13/1972,Ilyushin,,174,
8/22/2006,Tupolev,,170,
1/30/2000,Airbus,,169,Gulf of Guineaoff Côte d'Ivoire
7/15/2009,Tupolev,,168,"Qazvin, Iran"
9/28/1992,Airbus,,167,"Kathmandu, Nepal"
3/31/1986,Boeing,,167,"Sierra Madre Oriental Mts., Mexico"
7/8/1980,Tupolev,,166,"Almaty, Kazakh SSR, USSR"
12/28/2014,Airbus,,162,"Karimata Strait, between Belitung and Borneo, Java Sea, Indonesia"
7/30/1971,Boeing,,162,"Shizukuishi, Japan"
8/16/2005,McDonnell,,160,"Machiques, Venezuela"
6/6/1994,Tupolev,,160,"Xian, China"
6/3/2012,McDonnell,,159,"Lagos, Nigeria"
12/20/1995,Boeing,,159,"Buga, Colombia"
11/28/1987,Boeing,,159,Mauritius
5/22/2010,Boeing,,158,"Mangalore, India"
3/10/2019,Boeing,,157,"Bishoftu, Ethiopia"
12/22/1992,Boeing,,157,"Qasr bin Ghashir, Tripoli, Libya"
8/16/1987,McDonnell,,156,"Romulus, Michigan, U.S."
11/26/1979,Boeing,,156,"Taif, Saudi Arabia"
8/14/1972,Ilyushin,,156,"Königs Wusterhausen, East Germany"
12/3/1972,Convair,,155,"San Cristóbal, Tenerife, Canary Islands, Spain"
3/16/1969,McDonnell,,155,"Maracaibo, Venezuela"
8/20/2008,McDonnell,,154,"Madrid, Spain"
9/29/2006,Boeing,,154,"Peixoto Azevedo, Brazil"
9/19/1976,Boeing,,154,"Isparta, Turkey"
7/9/1982,Boeing,,153,"Kenner, Louisiana, US"
7/28/2010,Airbus,,152,"Islamabad, Pakistan"
6/30/2009,Airbus,,152,"Mozambique Channel off Mitsamiouli, Comoros"
3/24/2015,Airbus,,150,"near French Alps, France"
9/3/1989,Ilyushin,,150,"Havana, Cuba"
9/5/2005,Boeing,,149,"Medan, Indonesia"
5/4/2002,BAC,,149,"Kano, Nigeria"
1/3/2004,Boeing,,148,"Red Sea, off Sharm el-Sheikh, Egypt"
2/19/1985,Boeing,,148,"Oiz mountain, Spain"
4/25/1980,Boeing,,146,"Tenerife, Canary Islands, Spain"
7/4/2001,Tupolev,,145,"Irkutsk, Russia"
11/7/1996,Boeing,,144,"Lagos State, Nigeria"
2/8/1989,Boeing,,144,"Pico Alto Mtn., Azores, Portugal"
9/25/1978,Boeing,,144,"San Diego, California, US"
8/23/2000,Airbus,,143,"Persian Gulf, off Al Muharraq, Bahrain"
3/17/1988,Boeing,,143,"Sardinata, Colombia"
12/25/2003,Boeing,,141,"Cotonou, Benin"
8/29/1996,Tupolev,,141,"Svalbard, Norway"
12/18/1995,Lockheed,,141,"Jamba, Cuando Cubango, Angola"
11/24/1992,Boeing,,141,"Yanshan District, China"
8/2/1985,Lockheed,,137,"Dallas–Fort Worth, Texas, US"
6/8/1982,Boeing,,137,"Pacatuba, Brazil"
12/16/1960,Douglas,,134,
10/19/1988,Boeing,,133,"Ahmedabad, India"
2/4/1966,Boeing,,133,"Tokyo Bay, Japan"
9/8/1994,Boeing,,132,"Aliquippa, Pennsylvania, US"
5/19/1993,Boeing,,132,"Medellín, Colombia"
6/28/1982,Yakovlev,,132,"Mazyr, Byelorussian SSR, USSR"
4/19/2000,Boeing,,131,"Samal, Philippines"
10/21/1989,Boeing,,131,"Tegucigalpa, Honduras"
11/19/1977,Boeing,,131,"Santa Cruz, Madeira"
11/8/1983,Boeing,,130,"Lubango, Angola"
6/3/1962,Boeing,,130,
4/15/2002,Boeing,,129,"Busan, South Korea"
12/24/1966,Canadair,,129,"Da Nang, Vietnam"
1/21/1980,Boeing,,128,"Alborz Mountains, Iran"
6/30/1956,Douglas,,128,"Grand Canyon, Arizona, US"
4/20/2012,Boeing,,127,"Islamabad, Pakistan"
8/20/1975,Ilyushin,,126,"Damascus, Syria"
4/20/1967,Bristol,,126,"Nicosia, Cyprus"
7/9/2006,Airbus,,125,"Irkutsk, Russia"
1/3/1994,Tupolev,,124,"Irkutsk, Russia"
3/5/1966,Boeing,,124,"Gotemba, Japan"
2/29/1996,Boeing,,123,"Arequipa, Peru"
7/11/1973,Boeing,,123,"Saulx-les-Chartreux, France"
4/20/1968,Boeing,,123,"Windhoek, Namibia (then South West Africa)"
10/13/1973,Tupolev,,122,"Domodedovo, Russian SFSR, USSR"
5/18/1972,Antonov,,122,"Kharkiv, Ukrainian SSR, USSR"
8/14/2005,Boeing,,121,"Grammatiko, Greece"
5/20/1965,Boeing,,121,"New Cairo, Egypt"
6/23/1969,Ilyushin,,120,"Yukhnovsky, Russian SFSR, USSR"
2/12/2002,Tupolev,,119,"Sarab-e Dowreh, Iran"
7/11/1983,Boeing,,119,"Cuenca, Ecuador"
10/8/2001,McDonnell,,118,"Milan, Italy"
6/18/1972,Hawker,,118,"Staines, United Kingdom"
11/29/1963,Douglas,,118,"Sainte-Thérèse, Quebec, Canada"
10/22/2005,Boeing,,117,"Lagos, Nigeria"
7/8/2003,Boeing,,117,"Port Sudan, Sudan"
1/24/1966,Boeing,,117,"Mont Blanc massif, France"
7/24/2014,McDonnell,,116,"Gossi, Mali"
11/20/1993,Yakovlev,,116,"Ohrid, Republic of Macedonia"
10/13/1976,Boeing,,116,"Santa Cruz, Bolivia"
5/5/1972,McDonnell,,115,"Cinisi, Sicily, Italy"
5/5/2007,Boeing,,114,"Douala, Cameroon"
5/3/2006,Airbus,,113,"Black Sea, off Adler, Russia"
7/25/2000,Aérospatiale-BAC,,113,"Gonesse, France"
7/31/1992,Airbus,,113,"Langtang National Park, Nepal"
6/24/1975,Boeing,,113,"Jamaica, New York, US"
6/22/1962,Boeing,,113,"Deshaies, Guadeloupe, West Indies"
5/18/2018,Boeing,,112,"Santiago de las Vegas, Cuba"
5/7/2002,McDonnell,,112,"Dalian Bay, China"
4/26/1982,Hawker,,112,"Yangshuo, China"
3/14/1972,Sud,,112,"Fujairah, United Arab Emirates"
7/3/1970,de,,112,"Les Agudes mountain, Spain"
7/19/1989,McDonnell,,111,"Sioux City, Iowa, US"
3/6/1976,Ilyushin,,111,"Verkhnekhavsky District, Russian SFSR, USSR"
9/4/1971,Boeing,,111,"Juneau, Alaska, US"
3/4/1962,Douglas,,111,"Douala, Cameroon"
5/11/1996,McDonnell,,110,"Everglades, Florida, US"
12/23/1984,Tupolev,,110,"Yemelyanovsky, Russian SFSR, USSR"
8/22/1981,Boeing,,110,"Miaoli, Taiwan"
4/27/1974,Ilyushin,,109,"Shushary, Russian SFSR, USSR"
10/1/1972,Ilyushin,,109,"Black Sea, off Adler, Russian SFSR, USSR"
7/5/1970,McDonnell,,109,"Vaughan, Ontario, Canada"
12/10/2005,McDonnell,,108,"Port Harcourt, Nigeria"
7/31/1992,Yakovlev,,108,"Nanjing, China"
1/18/1988,Ilyushin,,108,"Chongqing, China"
12/23/1978,McDonnell,,108,"Tyrrhenian Sea, off Palermo, Italy"
9/30/1973,Tupolev,,108,"Yekaterinburg, Russian SFSR, USSR"
4/10/1973,Vickers,,108,"Reinach, Switzerland"
4/22/1974,Boeing,,107,"Negara, Bali, Indonesia"
11/16/1967,Ilyushin,,107,"Aramil, Russian SFSR, USSR"
3/16/1962,Lockheed,,107,
12/22/1973,Sud,,106,"Tétouan, Morocco"
2/3/2005,Boeing,,104,"Pamir Mts., Afghanistan"
2/2/1998,McDonnell,,104,"Mount Balatukan, Philippines"
12/19/1997,Boeing,,104,"Musi River, Indonesia"
1/7/1972,Sud,,104,"Ibiza, Spain"
2/1/1963,Vickers,,104,"Ankara, Turkey"
5/12/2010,Airbus,,103,"Tripoli, Libya"
1/1/2007,Boeing,,102,"Makassar Strait, Indonesia"
3/6/2003,Boeing,,102,"Tamanrasset, Algeria"
2/15/1970,McDonnell,,102,"Santo Domingo, Dominican Republic"
12/11/1998,Airbus,,101,"Surat Thani, Thailand"
12/29/1972,Lockheed,,101,"Everglades, near Tamiami, Florida, US"
8/31/1972,Ilyushin,,101,"Verkhneuralsky District, Russian SFSR, USSR"
8/9/1970,Lockheed,,101,"Cusco, Peru"
6/3/1963,Douglas,,101,"Annette Island, Alaska, US"
3/20/1969,Ilyushin,,100,"Aswan, Egypt"
10/31/1996,Fokker,,99,"São Paulo, Brazil"
11/16/1981,Tupolev,,99,"Norilsk, Russian SFSR, USSR"
8/14/1958,Lockheed,,99,"Shannon, Ireland"
12/6/1995,Tupolev,,98,"Khabarovsk Krai, Russia"
9/1/1966,Bristol,,98,"Komenda, SR Slovenia, Yugoslavia"
1/30/1974,Boeing,,97,"Pago Pago, American Samoa"
7/25/1971,Tupolev,,97,"Irkutsk, Russian SFSR, USSR"
11/27/1962,Boeing,,97,"San Juan de Miraflores, Peru"
10/29/2006,Boeing,,96,"Abuja, Nigeria"
1/13/1977,Tupolev,,96,"Almaty, Kazakh SSR, USSR"
10/12/1976,Sud,,95,"Mumbai, India"
3/1/1962,Boeing,,95,"Jamaica Bay, New York, US"
1/28/2002,Boeing,,94,"Cumbal Volcano, Colombia"
5/3/1985,Tupolev,,94,"Zolochiv, Ukrainian SSR, USSR"
7/7/1962,McDonnell,,94,"Junnar, India"
1/18/1986,Sud,,93,"Flores, Guatemala"
12/7/1983,Boeing,,93,"Madrid, Spain"
2/14/1990,Airbus,,92,"Bangalore, India"
12/1/1974,Boeing,,92,"Mt. Weather, Virginia, US"
2/6/1970,Ilyushin,,92,"Bulungur District, Uzbek SSR, USSR"
12/24/1971,Lockheed,,91,"Puerto Inca, Peru"
1/25/2010,Boeing,,90,"Na'ameh, Lebanon"
9/16/2007,McDonnell,,90,"Phuket, Thailand"
8/30/1983,Tupolev,,90,"Almaty, Kazakh SSR, USSR"
7/6/1982,Ilyushin,,90,"Mendeleyevo, Russian SFSR, USSR"
12/8/1969,Douglas,,90,"Keratea, Greece"
7/31/1973,McDonnell,,89,"Boston, Massachusetts, US"
9/14/2008,Boeing,,88,"Perm, Russia"
1/31/2000,McDonnell,,88,"Anacapa Island, California, US"
